X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
758.953,62.2305,0.0818122,4.6875,761.5
2433.23,306.849,0.125445,7.1875,2452.5
0,0,0.125991,7.21875,0
1888.97,285.996,0.150262,8.60938,1910.5
1879.73,327.22,0.172351,9.875,1908
1911.58,377.527,0.194986,11.1719,1948.5
1891.67,417.75,0.217348,12.4531,1937.25
1712.13,420.441,0.240801,13.7969,1763
1679.49,452.964,0.263435,15.0938,1739.5
1669.29,491.001,0.28607,16.3906,1740
1673.76,532.756,0.308159,17.6562,1756.5
1678.92,574.516,0.329703,18.8906,1774.5
1695.09,621.679,0.35152,20.1406,1805.5
3494.58,1715.05,0.45624,26.1406,3892.75
1670.36,880.563,0.485147,27.7969,1888.25
1614.83,898.571,0.507781,29.0938,1848
545.813,355.726,0.577594,33.0938,651.5
520.241,357.969,0.602683,34.5312,631.5
511.601,369.785,0.625864,35.8594,631.25
482.278,366.525,0.649862,37.2344,605.75
470.841,374.314,0.671678,38.4844,601.5
458.269,382.62,0.695677,39.8594,597
443.855,389.464,0.72022,41.2656,590.5
436.156,397.698,0.73931,42.3594,590.25
365.314,355.873,0.772308,44.25,510
347.448,352.218,0.792215,45.3906,494.75
331.565,353.621,0.817577,46.8438,484.75
316.328,352.669,0.839666,48.1094,473.75
74.5913,116.104,0.999746,57.2812,138
72.1069,117.956,1.02211,58.5625,138.25
0,0,1.04938,60.125,0
0,0,1.07174,61.4062,0
66.3585,122.137,1.0731,61.4844,139
64.6984,123.872,1.08947,62.4219,139.75
65.6244,125.644,1.08947,62.4219,141.75
63.6846,128.873,1.11183,63.7031,143.75
61.3854,131.641,1.13446,65,145.25
61.0024,158.142,1.20264,68.9062,169.5
55.4174,153.822,1.225,70.1875,163.5
52.0011,155.274,1.24764,71.4844,163.75
48.7384,157.114,1.27,72.7656,164.5
44.8268,156.975,1.29263,74.0625,163.25
41.2423,157.696,1.315,75.3438,163
37.7782,159.076,1.33763,76.6406,163.5
34.3249,160.623,1.36026,77.9375,164.25
0,0,1.36463,78.1875,0
30.4409,159.623,1.38235,79.2031,162.5
26.6966,159.532,1.40499,80.5,161.75
23.3372,161.573,1.42735,81.7812,163.25
0,0,1.43226,82.0625,0
0,0,1.45462,83.3438,0
15.587,183.339,1.48598,85.1406,184
11.5112,184.892,1.50862,86.4375,185.25
-0.808654,197.748,1.57489,90.2344,197.75
0,0,1.58988,91.0938,0
-5.32412,199.179,1.59752,91.5312,199.25
0,0,1.61225,92.375,0
-9.92366,202.006,1.61988,92.8125,202.25
0,0,1.63488,93.6719,0
-14.795,206.721,1.64224,94.0938,207.25
0,0,1.65724,94.9531,0
-19.9288,211.815,1.66461,95.375,212.75
0,0,1.67988,96.25,0
0,0,1.70251,97.5469,0
0,0,1.76987,101.406,0
-57.8261,264.247,1.78623,102.344,270.5
-85.1004,310.81,1.83805,105.312,322.25
-700.534,1906.89,1.92286,110.172,2031.5
0,0,1.9275,110.438,0
-755.408,1920.8,1.9455,111.469,2064
-795.751,1897.66,1.96786,112.75,2057.75
-897.969,1898.6,2.01258,115.312,2100.25
-1353.71,2442.16,2.07694,119,2792.25
-1450.08,2483.39,2.0993,120.281,2875.75
-1569.99,2434.99,2.14348,122.812,2897.25
-1601.31,2361.53,2.16666,124.141,2853.25
-3849.35,4977.13,2.22911,127.719,6292
-4448.9,4797.04,2.31856,132.844,6542.5
-4591.08,4733.51,2.34092,134.125,6594.25
-4705.03,4638.8,2.36328,135.406,6607.25
-4719.48,4446.94,2.38592,136.703,6484.5
-4943.19,4455.77,2.40801,137.969,6655
-5096.83,4394.15,2.4301,139.234,6729.5
-5301.7,4365.55,2.45273,140.531,6867.75
-5581.51,3811.48,2.54245,145.672,6758.75
-2310.35,1011.32,2.72898,156.359,2522
-1108.32,440.776,2.76307,158.312,1192.75
-1092.95,406.942,2.78516,159.578,1166.25
-1122.77,389.003,2.80807,160.891,1188.25
-1176.16,380.742,2.82852,162.062,1236.25
-1250.76,374.951,2.85034,163.312,1305.75
-1209.09,330.702,2.87461,164.703,1253.5
-1184,295.208,2.89724,166,1220.25
-1179.5,266.56,2.91933,167.266,1209.25
-171.999,9.29676,3.08759,176.906,172.25
-228.965,11.4367,3.09168,177.141,229.25
0,0,3.09877,177.547,0
-331.324,-21.1708,3.2054,183.656,332
-328.99,-25.8009,3.21986,184.484,330
-313.911,-34.0315,3.24958,186.188,315.75
